. Sequence file : [run5.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #16	76   	-31221.74298	Yes        	4        	0.570    	0.000    	 0.18509   0.31680   0.30746   0.19065	-1.29883   0.23393   0.97896   0.08595  
      	     	          	           	          	           	             	                                      	 0.13667  -0.81748   0.17390   0.50691  
      	     	          	           	          	           	             	                                      	 0.58933   0.17919  -0.91136   0.14284  
      	     	          	           	          	           	             	                                      	 0.08344   0.84232   0.23036  -1.15612  

  #17	76   	-32274.29576	Yes        	4        	0.570    	0.000    	 0.19180   0.31616   0.30509   0.18695	-1.15651   0.27011   0.81929   0.06711  
      	     	          	           	          	           	             	                                      	 0.16386  -0.89229   0.17568   0.55275  
      	     	          	           	          	           	             	                                      	 0.51507   0.18205  -0.85406   0.15694  
      	     	          	           	          	           	             	                                      	 0.06885   0.93478   0.25612  -1.25975  

  #18	76   	-33142.19612	Yes        	4        	0.570    	0.000    	 0.18658   0.32510   0.30262   0.18569	-1.36459   0.25792   1.02283   0.08383  
      	     	          	           	          	           	             	                                      	 0.14803  -0.76805   0.16111   0.45891  
      	     	          	           	          	           	             	                                      	 0.63063   0.17308  -0.94851   0.14480  
      	     	          	           	          	           	             	                                      	 0.08424   0.80345   0.23599  -1.12367  

  #19	76   	-31109.95787	Yes        	4        	0.570    	0.000    	 0.18304   0.31504   0.31934   0.18258	-1.28432   0.27878   0.93561   0.06994  
      	     	          	           	          	           	             	                                      	 0.16197  -0.83899   0.15409   0.52293  
      	     	          	           	          	           	             	                                      	 0.53627   0.15202  -0.84996   0.16167  
      	     	          	           	          	           	             	                                      	 0.07012   0.90234   0.28277  -1.25523  

  #20	76   	-31511.62855	Yes        	4        	0.570    	0.000    	 0.19511   0.31843   0.31890   0.16756	-1.22836   0.24799   0.93039   0.04997  
      	     	          	           	          	           	             	                                      	 0.15195  -0.83289   0.15688   0.52405  
