#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:run4" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:run4" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:run4">
#                <taxonset id="TaxonSet.run4" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:run4" name="distribution" x="@birthRate.t:run4">
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="RateACPrior.s:run4" name="distribution">
#            <parameter id="rateAC.s:run4" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateAGPrior.s:run4" name="distribution">
#            <parameter id="rateAG.s:run4" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.01" name="distr">
#                <parameter estimate="false" id="RealParameter.02" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.03" name="beta">20.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:run4" name="distribution">
#            <parameter id="rateAT.s:run4" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.02" name="distr">
#                <parameter estimate="false" id="RealParameter.04" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.05" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:run4" name="distribution">
#            <parameter id="rateCG.s:run4" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.03" name="distr">
#                <parameter estimate="false" id="RealParameter.06" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.07" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:run4" name="distribution">
#            <parameter id="rateGT.s:run4" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.04" name="distr">
#                <parameter estimate="false" id="RealParameter.08" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.09" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@run4" id="treeLikelihood.run4" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:run4">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:run4" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:run4" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:run4" name="shape">0.59</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:run4" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:run4" rateAC="@rateAC.s:run4" rateAG="@rateAG.s:run4" rateAT="@rateAT.s:run4" rateCG="@rateCG.s:run4" rateGT="@rateGT.s:run4" spec="beast.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateCT.s:run4" lower="0.0" name="rateCT">1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:run4" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:run4" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:run4" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:run4" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	rateAC	rateAG	rateAT	rateCG	rateGT	
0	-132954.4656424973	-132928.1530105509	-26.312631946403783	-132928.1530105509	2.7334264726799606	-10.407932308868617	1.0	0.25	0.25	0.25	0.25	1.0	1.0	1.0	1.0	1.0	
1000	-103107.88430519761	-103254.7476234956	146.86331829797962	-103254.7476234956	0.4753569557166833	162.5613609867229	14.19645491489815	0.25	0.25	0.25	0.25	0.45230190124827463	1.8059813513698626	1.0	1.0	1.0	
2000	-95295.04158619027	-95452.33823943137	157.29665324109072	-95452.33823943137	0.5039741268557864	172.43269110860155	13.35133206725493	0.25	0.25	0.25	0.25	0.45230190124827463	1.8059813513698626	0.8638510155865894	1.0	0.6727068199003626	
3000	-89617.94267693536	-89794.86223981885	176.91956288347924	-89794.86223981885	0.3385795863842829	192.16826790733165	15.614856769915145	0.25	0.25	0.25	0.25	0.5063641736284987	1.8059813513698626	0.8638510155865894	1.0	0.6727068199003626	
4000	-86357.92805517546	-86536.00706404149	178.0790088660301	-86536.00706404149	0.3398680600532719	193.35430858007007	19.103733774877032	0.25	0.25	0.25	0.25	0.5063641736284987	2.489125391150868	0.6368340066818101	1.0	0.6727068199003626	
5000	-82143.01217457182	-82330.93617164061	187.9239970687952	-82330.93617164061	0.31053127508630995	202.85692663509187	16.00087150895608	0.24717451974454183	0.25	0.25	0.25282548025545815	0.5946313063836204	2.489125391150868	0.6368340066818101	0.612862295706597	0.6727068199003626	
6000	-76504.62409858989	-76697.4063491593	192.782250569404	-76697.4063491593	0.21258497892795025	207.56939450301135	18.18418574994434	0.24364975848377113	0.2535247612607707	0.25	0.25282548025545815	0.5946313063836204	2.489125391150868	0.551182735795126	0.612862295706597	0.6727068199003626	
7000	-74362.87306809139	-74562.45850922065	199.585441129261	-74562.45850922065	0.20087565222449869	214.09822939986196	18.310956968172622	0.2422816596064528	0.2548928601380891	0.25	0.25282548025545815	0.5646302411564658	2.489125391150868	0.44131735015387713	0.612862295706597	0.6727068199003626	
8000	-72368.15124584798	-72568.23558815918	200.08434231119492	-72568.23558815918	0.19677445482739228	214.5122695406553	19.72762794728374	0.2422816596064528	0.26293256104574453	0.25	0.2447857793478027	0.5646302411564658	2.489125391150868	0.405144769912454	0.612862295706597	0.6727068199003626	
9000	-70174.02764349498	-70374.80812120921	200.78047771422703	-70374.80812120921	0.18938928100250046	215.05694715716237	17.008253561793286	0.2422816596064528	0.26293256104574453	0.2530586533418548	0.24172712600594792	0.5646302411564658	2.489125391150868	0.405144769912454	0.5272739892742542	0.6727068199003626	
10000	-68874.52073638888	-69085.9491971777	211.42846078883107	-69085.9491971777	0.18679461743639425	225.24774744571621	19.968038824637897	0.2422816596064528	0.26293256104574453	0.2530586533418548	0.24172712600594792	0.4687249346521588	2.0025701602913557	0.38917864130515933	0.5272739892742542	0.6727068199003626	
11000	-67351.67134737172	-67564.39134888253	212.72000151081136	-67564.39134888253	0.1743765415065495	226.5392881676965	20.89968861129132	0.2422816596064528	0.26293256104574453	0.2530586533418548	0.24172712600594792	0.4687249346521588	2.0025701602913557	0.38917864130515933	0.5272739892742542	0.6727068199003626	
12000	-66499.92482176867	-66715.41351782519	215.4886960565223	-66715.41351782519	0.16144597592960622	228.5998116881404	23.128273570194047	0.23881163847958073	0.2664025821726166	0.2530586533418548	0.24172712600594792	0.4687249346521588	2.0025701602913557	0.18861487935441099	0.5272739892742542	0.6727068199003626	
13000	-65330.854408371924	-65541.56208763302	210.70767926109414	-65541.56208763302	0.16339504476903385	223.46964787834796	21.77445371624751	0.23881163847958073	0.2664025821726166	0.2530586533418548	0.24172712600594792	0.4687249346521588	2.0025701602913557	0.18861487935441099	0.5272739892742542	0.4755806838205483	
14000	-65021.22253946724	-65233.75051890022	212.52797943297642	-65233.75051890022	0.16147483251906122	224.71361051546225	24.248177318978332	0.23881163847958073	0.2664025821726166	0.2530586533418548	0.24172712600594792	0.33261005411557404	1.5945745925439048	0.18861487935441099	0.5272739892742542	0.4755806838205483	
15000	-64606.59011643084	-64821.9240073725	215.3338909416649	-64821.9240073725	0.15812896845945595	226.85693235646298	22.18200736949834	0.23881163847958073	0.2664025821726166	0.2530586533418548	0.24172712600594792	0.35941307087703955	1.5945745925439048	0.12442539155269347	0.43579911085979384	0.4101661067380461	
16000	-63844.557798995724	-64063.12175594196	218.5639569462376	-64063.12175594196	0.17876625785301134	229.58839023219423	19.088841988589348	0.23881163847958073	0.2664025821726166	0.2530586533418548	0.24172712600594792	0.35941307087703955	1.3165009301715536	0.12442539155269347	0.32076371020769534	0.4101661067380461	
17000	-63280.09671467971	-63504.48969911004	224.39298443032695	-63504.48969911004	0.16140069523992262	235.41741771628358	25.015226473421396	0.23881163847958073	0.2664025821726166	0.2530586533418548	0.24172712600594792	0.35941307087703955	1.3165009301715536	0.12442539155269347	0.32076371020769534	0.4101661067380461	
18000	-62770.21211553664	-62995.578525078825	225.366409542185	-62995.578525078825	0.15181782163835078	236.11138234107545	23.960307684864123	0.22963377391821765	0.26907459598833167	0.2503866395261397	0.250904990567311	0.35941307087703955	1.3165009301715536	0.09302263873716725	0.32076371020769534	0.4101661067380461	
19000	-61902.913520497415	-62125.7623560098	222.84883551238173	-62125.7623560098	0.15251132758930896	233.59380831127217	25.0851811221825	0.22963377391821765	0.26907459598833167	0.2547915764680134	0.24650005362543734	0.35941307087703955	1.3165009301715536	0.09302263873716725	0.32076371020769534	0.4101661067380461	
20000	-61669.71905947422	-61891.765388605396	222.04632913117422	-61891.765388605396	0.1521862980836755	232.79130193006466	26.239062934306176	0.22963377391821765	0.26907459598833167	0.2547915764680134	0.24650005362543734	0.35941307087703955	1.3165009301715536	0.09302263873716725	0.32076371020769534	0.4101661067380461	
21000	-60738.696978916545	-60966.52962696232	227.83264804577357	-60966.52962696232	0.14771401489678407	238.577620844664	31.102415453399733	0.22963377391821765	0.26907459598833167	0.2547915764680134	0.24650005362543734	0.35941307087703955	1.3165009301715536	0.09302263873716725	0.32076371020769534	0.4101661067380461	
22000	-60454.144735815156	-60683.48572991056	229.34099409540266	-60683.48572991056	0.14300916853354126	240.05774368114083	26.617121633022176	0.23149562725363912	0.26907459598833167	0.2547915764680134	0.24463820029001587	0.35941307087703955	1.3165009301715536	0.09302263873716725	0.32076371020769534	0.39864309552711513	
23000	-59917.7775151288	-60141.50177824328	223.72426311447353	-60141.50177824328	0.15416403401662035	234.41360218777544	22.6398841753416	0.23149562725363912	0.26907459598833167	0.2547915764680134	0.24463820029001587	0.3257939895161002	1.3165009301715536	0.09416482461056916	0.3400994716522855	0.39864309552711513	
24000	-59555.51374680895	-59783.06227394633	227.54852713737526	-59783.06227394633	0.14629425830773596	238.23786621067717	25.03906043166654	0.2229840456282955	0.26907459598833167	0.2633031580933571	0.24463820029001587	0.3257939895161002	1.3165009301715536	0.09416482461056916	0.3400994716522855	0.39864309552711513	
25000	-59125.110294207654	-59348.52616210685	223.41586789919307	-59348.52616210685	0.15108058121809104	234.10520697249498	27.994270036768036	0.2229840456282955	0.2767282646375032	0.2633031580933571	0.23698453164084432	0.3257939895161002	1.3165009301715536	0.09416482461056916	0.3400994716522855	0.39864309552711513	
26000	-58824.7050087617	-59054.00391311119	229.29890434949033	-59054.00391311119	0.1393018688971296	239.86894031849764	22.78457241572766	0.2229840456282955	0.2851249809997799	0.2633031580933571	0.22858781527856764	0.3257939895161002	1.3165009301715536	0.09416482461056916	0.3400994716522855	0.35327946290537643	
27000	-58798.36761366879	-59025.0723009782	226.70468730940757	-59025.0723009782	0.14825278805455985	237.27472327841488	20.45231079831406	0.2229840456282955	0.2851249809997799	0.2633031580933571	0.22858781527856764	0.3257939895161002	1.3165009301715536	0.09416482461056916	0.3400994716522855	0.35327946290537643	
28000	-58777.07198222284	-59003.078024600516	226.00604237767138	-59003.078024600516	0.14802662279689777	236.5759524032894	22.251001756322534	0.2229840456282955	0.28976450194864706	0.2633031580933571	0.22394829432970048	0.3257939895161002	1.3055777901113617	0.09416482461056916	0.3400994716522855	0.3562802340470974	
29000	-58760.62633809603	-58993.51426628828	232.88792819224915	-58993.51426628828	0.14907502854387814	243.45783821786716	26.69852979980498	0.2229840456282955	0.28976450194864706	0.2633031580933571	0.22394829432970048	0.3257939895161002	1.3055777901113617	0.09416482461056916	0.3400994716522855	0.3562802340470974	
30000	-58756.4928794504	-58984.31820611884	227.82532666844205	-58984.31820611884	0.14752201210106955	238.536438494458	24.28866682595919	0.2229840456282955	0.28976450194864706	0.2633031580933571	0.22394829432970048	0.3257939895161002	1.3055777901113617	0.10908308407267109	0.3400994716522855	0.3562802340470974	
31000	-58741.65110578098	-58970.25670757638	228.60560179540536	-58970.25670757638	0.14513296044837087	239.1058107022634	24.351253826398192	0.2229840456282955	0.28976450194864706	0.2623621008658785	0.22488935155717904	0.3257939895161002	1.3055777901113617	0.08756417096450897	0.3400994716522855	0.3562802340470974	
32000	-58730.004486754675	-58960.8136934088	230.80920665412842	-58960.8136934088	0.13633249082745674	241.3780125493036	28.933608887219705	0.21439488018562003	0.29799736353639983	0.2627184047208012	0.22488935155717904	0.3257939895161002	1.2753904212036198	0.08756417096450897	0.3400994716522855	0.39120466163967427	
33000	-58417.98491113879	-58649.95152205093	231.9666109121362	-58649.95152205093	0.13540896060364244	242.87389768891668	23.9679016895722	0.20833140738051098	0.31008266059082873	0.26523192457721073	0.21635400745144964	0.3257939895161002	1.4907660217560286	0.10557257598153008	0.3400994716522855	0.39120466163967427	
34000	-57935.91721649929	-58162.25238527424	226.33516877494256	-58162.25238527424	0.13874981547148588	237.05210379405344	26.352116111725334	0.20833140738051098	0.31008266059082873	0.28131985854070246	0.2002660734879579	0.3257939895161002	1.4907660217560286	0.10557257598153008	0.2801100449859683	0.39120466163967427	
35000	-57924.898861182875	-58148.707907856384	223.809046673511	-58148.707907856384	0.14565241356695302	234.52598169262188	19.25556044221097	0.20833140738051098	0.31008266059082873	0.28131985854070246	0.2002660734879579	0.3257939895161002	1.4907660217560286	0.10557257598153008	0.2801100449859683	0.39120466163967427	
36000	-57884.78734378359	-58110.053150308515	225.2658065249299	-58110.053150308515	0.14211535077167994	235.98274154404078	22.843734094780235	0.19245549430312844	0.31008266059082873	0.28131985854070246	0.21614198656534045	0.3257939895161002	1.4907660217560286	0.10557257598153008	0.2801100449859683	0.39120466163967427	
37000	-57556.3745001437	-57784.78206784479	228.40756770109408	-57784.78206784479	0.13817318513996035	239.19998600726737	26.073893845257366	0.19245549430312844	0.3152574971693713	0.27731068653865115	0.2149763219888492	0.3257939895161002	1.4907660217560286	0.11419946793581352	0.2801100449859683	0.39120466163967427	
38000	-57445.84421176188	-57674.4892673255	228.64505556362096	-57674.4892673255	0.14225359085150172	239.52472341976943	28.740452253612382	0.19245549430312844	0.3152574971693713	0.27731068653865115	0.2149763219888492	0.3559988224312199	1.4907660217560286	0.11419946793581352	0.2801100449859683	0.39120466163967427	
39000	-56950.560763984635	-57174.88142045439	224.32065646975624	-57174.88142045439	0.14763694841758374	235.14390159255646	27.105456374225962	0.19245549430312844	0.3264289777363153	0.27731068653865115	0.2038048414219052	0.3559988224312199	1.4907660217560286	0.11419946793581352	0.26439505429641624	0.39120466163967427	
40000	-56936.733991791545	-57158.30503174704	221.57103995549588	-57158.30503174704	0.15342568469857568	232.3942850782961	19.802970279007262	0.19245549430312844	0.3264289777363153	0.27731068653865115	0.2038048414219052	0.3559988224312199	1.4907660217560286	0.11419946793581352	0.26439505429641624	0.39120466163967427	
41000	-56909.00367189491	-57136.319607329904	227.3159354349931	-57136.319607329904	0.14055636434495858	238.25628518911955	25.233051751598637	0.19245549430312844	0.3264289777363153	0.27731068653865115	0.2038048414219052	0.3559988224312199	1.4907660217560286	0.1289801873241264	0.26439505429641624	0.39120466163967427	
42000	-56900.50825189389	-57129.335538388295	228.82728649440492	-57129.335538388295	0.14325825974805234	239.64324343008582	21.64556498733509	0.19245549430312844	0.3264289777363153	0.27731068653865115	0.2038048414219052	0.33733466257318995	1.390215783720103	0.1289801873241264	0.26439505429641624	0.39120466163967427	
43000	-56886.227861313375	-57114.86287843133	228.63501711795644	-57114.86287843133	0.14732097717379006	239.45097405363734	23.861281987388764	0.19245549430312844	0.3264289777363153	0.29028902305995813	0.19082650490059824	0.33733466257318995	1.390215783720103	0.1289801873241264	0.26439505429641624	0.39120466163967427	
44000	-56876.93490324927	-57104.08111258854	227.14620933927165	-57104.08111258854	0.14074676222228436	238.01587452714543	22.77908075963043	0.19245549430312844	0.3264289777363153	0.29028902305995813	0.19082650490059824	0.33733466257318995	1.390215783720103	0.1289801873241264	0.26439505429641624	0.4130095060929019	
45000	-56863.73125388915	-57088.52849833259	224.79724444344177	-57088.52849833259	0.1460726986204208	235.66690963131555	25.22490990514154	0.19245549430312844	0.3264289777363153	0.29028902305995813	0.19082650490059824	0.33733466257318995	1.390215783720103	0.1289801873241264	0.26439505429641624	0.4130095060929019	
46000	-56873.01510776816	-57102.6235806184	229.6084728502401	-57102.6235806184	0.14202832330585882	240.34968822337694	25.032756146806392	0.18072112880342348	0.3264289777363153	0.29028902305995813	0.2025608704003032	0.33733466257318995	1.4176155531054213	0.1289801873241264	0.22705786821315935	0.4130095060929019	
47000	-56836.11699353716	-57062.60699642923	226.49000289207447	-57062.60699642923	0.14374507762791877	237.2312182652113	28.76885568389423	0.18072112880342348	0.34387363781956737	0.29028902305995813	0.18511621031705114	0.33733466257318995	1.4176155531054213	0.1289801873241264	0.22705786821315935	0.4130095060929019	
48000	-56834.21976897177	-57063.70341844545	229.48364947367915	-57063.70341844545	0.13988150315358147	240.224864846816	24.441688475769695	0.18072112880342348	0.34387363781956737	0.29028902305995813	0.18511621031705114	0.33733466257318995	1.4176155531054213	0.1289801873241264	0.22705786821315935	0.4130095060929019	
49000	-56840.6850093297	-57065.693867360686	225.00885803098214	-57065.693867360686	0.1499834054211204	235.84831026557046	24.45198738099597	0.18072112880342348	0.34387363781956737	0.29028902305995813	0.18511621031705114	0.33733466257318995	1.4176155531054213	0.1289801873241264	0.2511563005139695	0.4130095060929019	
50000	-56842.67447989623	-57073.76020612594	231.08572622970885	-57073.76020612594	0.1396270874439274	241.92266158819848	28.0228359118281	0.18072112880342348	0.34387363781956737	0.29028902305995813	0.18511621031705114	0.33647265929020337	1.4176155531054213	0.1289801873241264	0.2511563005139695	0.4130095060929019	
51000	-56834.843277552514	-57062.22828882472	227.38501127220314	-57062.22828882472	0.14402734785283877	238.2291458595191	27.64250605320429	0.18072112880342348	0.34387363781956737	0.29028902305995813	0.18511621031705114	0.33647265929020337	1.4276454098495905	0.1289801873241264	0.2511563005139695	0.4130095060929019	
52000	-56823.26215195369	-57054.82265050229	231.56049854859654	-57054.82265050229	0.13725480720013594	242.4046331359125	28.444186817082674	0.18072112880342348	0.34387363781956737	0.29028902305995813	0.18511621031705114	0.33647265929020337	1.4276454098495905	0.1289801873241264	0.2511563005139695	0.4130095060929019	
53000	-56818.72799945636	-57045.13568219739	226.40768274102828	-57045.13568219739	0.14427154730898403	237.25181732834423	25.76187438886141	0.18072112880342348	0.34387363781956737	0.29028902305995813	0.18511621031705114	0.33647265929020337	1.4276454098495905	0.1289801873241264	0.2511563005139695	0.4130095060929019	
54000	-56829.18695729546	-57059.1636629853	229.97670568984105	-57059.1636629853	0.1395826129590624	240.820840277157	26.857986910522182	0.18072112880342348	0.34387363781956737	0.29028902305995813	0.18511621031705114	0.33647265929020337	1.4276454098495905	0.1289801873241264	0.2511563005139695	0.4130095060929019	
55000	-56693.6758118116	-56915.67366313699	221.99785132539648	-56915.67366313699	0.15237377105421102	232.84198591271243	22.55300220275676	0.18072112880342348	0.34387363781956737	0.29028902305995813	0.18511621031705114	0.33647265929020337	1.4276454098495905	0.1289801873241264	0.2511563005139695	0.4130095060929019	
56000	-56613.85161036306	-56841.35123287936	227.4996225162952	-56841.35123287936	0.14840138571044365	238.34375710361115	24.97121996250312	0.18072112880342348	0.34387363781956737	0.29028902305995813	0.18511621031705114	0.33647265929020337	1.4276454098495905	0.1289801873241264	0.2511563005139695	0.4130095060929019	
57000	-56617.47633516234	-56840.59865970403	223.1223245416938	-56840.59865970403	0.14706333970082794	234.02798988011264	22.380335575248118	0.18072112880342348	0.34387363781956737	0.29028902305995813	0.18511621031705114	0.33647265929020337	1.4276454098495905	0.137487433204327	0.2511563005139695	0.4130095060929019	
58000	-56620.377634686345	-56847.14340165949	226.76576697314118	-56847.14340165949	0.14363597788248864	237.69829297997117	21.726067821476352	0.18072112880342348	0.34387363781956737	0.29028902305995813	0.18511621031705114	0.33647265929020337	1.468007590255256	0.137487433204327	0.2507334565873924	0.4130095060929019	
59000	-56597.280838995495	-56824.052394083854	226.7715550883583	-56824.052394083854	0.14341445609444542	237.56225539055387	26.07515304970048	0.16766474257552114	0.34387363781956737	0.2996477469160009	0.18881387268891076	0.33647265929020337	1.468007590255256	0.137487433204327	0.21673576482026416	0.4130095060929019	
60000	-56609.60765760876	-56835.096009648674	225.48835203991626	-56835.096009648674	0.1430406449176447	236.41235805870446	25.34342588085165	0.16766474257552114	0.34387363781956737	0.2996477469160009	0.18881387268891076	0.33647265929020337	1.468007590255256	0.15786019875760934	0.21673576482026416	0.4130095060929019	
61000	-56615.63810065591	-56840.96874480872	225.33064415280984	-56840.96874480872	0.142632656791031	236.25465017159803	23.394574187107107	0.16766474257552114	0.34387363781956737	0.2996477469160009	0.18881387268891076	0.33647265929020337	1.468007590255256	0.15786019875760934	0.21673576482026416	0.4130095060929019	
62000	-56601.54360062398	-56827.34875239627	225.80515177228864	-56827.34875239627	0.14552649104204135	236.7246525579996	26.800547282021313	0.16766474257552114	0.34387363781956737	0.2996477469160009	0.18881387268891076	0.33647265929020337	1.468007590255256	0.15712549387492977	0.21673576482026416	0.4130095060929019	
63000	-56594.26454581398	-56821.916812339674	227.65226652569424	-56821.916812339674	0.13715621095965588	238.5717673114052	22.58158674179752	0.16766474257552114	0.34387363781956737	0.2996477469160009	0.18881387268891076	0.33647265929020337	1.468007590255256	0.15712549387492977	0.21673576482026416	0.4130095060929019	
