#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:run7" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:run7" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:run7">
#                <taxonset id="TaxonSet.run7" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:run7" name="distribution" x="@birthRate.t:run7">
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="RateACPrior.s:run7" name="distribution">
#            <parameter id="rateAC.s:run7" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateAGPrior.s:run7" name="distribution">
#            <parameter id="rateAG.s:run7" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.01" name="distr">
#                <parameter estimate="false" id="RealParameter.02" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.03" name="beta">20.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:run7" name="distribution">
#            <parameter id="rateAT.s:run7" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.02" name="distr">
#                <parameter estimate="false" id="RealParameter.04" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.05" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:run7" name="distribution">
#            <parameter id="rateCG.s:run7" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.03" name="distr">
#                <parameter estimate="false" id="RealParameter.06" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.07" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:run7" name="distribution">
#            <parameter id="rateGT.s:run7" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.04" name="distr">
#                <parameter estimate="false" id="RealParameter.08" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.09" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@run7" id="treeLikelihood.run7" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:run7">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:run7" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:run7" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:run7" name="shape">4.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:run7" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:run7" rateAC="@rateAC.s:run7" rateAG="@rateAG.s:run7" rateAT="@rateAT.s:run7" rateCG="@rateCG.s:run7" rateGT="@rateGT.s:run7" spec="beast.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateCT.s:run7" lower="0.0" name="rateCT">1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:run7" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:run7" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:run7" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:run7" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	rateAC	rateAG	rateAT	rateCG	rateGT	
0	-144329.57712443554	-144305.64036213577	-23.936762299769644	-144305.64036213577	1.154263053983516	-8.032062662234479	1.0	0.25	0.25	0.25	0.25	1.0	1.0	1.0	1.0	1.0	
1000	-103147.94954724898	-103353.58734549659	205.63779824761303	-103353.58734549659	0.19520504286145243	221.3606251241306	34.27584763347637	0.25	0.25	0.2583612861657621	0.2416387138342379	1.0	1.0	0.9864536971287289	0.8515055983597197	1.0	
2000	-90709.83203923357	-90923.19813762626	213.3660983926794	-90923.19813762626	0.13585056931991643	229.20956339478525	39.40896648235891	0.25	0.25	0.2583612861657621	0.2416387138342379	1.0	1.6196297612917445	0.9864536971287289	0.8515055983597197	0.7002815162507019	
3000	-87180.0586887501	-87394.9917725231	214.93308377300735	-87394.9917725231	0.11991613522808232	230.02840898203962	42.449688667628756	0.25	0.25	0.2583612861657621	0.2416387138342379	0.6141677536512442	1.6196297612917445	0.9397067635166059	0.8515055983597197	0.577365609409805	
4000	-83133.11704048846	-83357.56557846694	224.44853797847264	-83357.56557846694	0.08241218084612272	239.61321270315815	37.83109869162924	0.25	0.25	0.2583612861657621	0.2416387138342379	0.6141677536512442	1.7320095836033882	0.9397067635166059	0.8515055983597197	0.577365609409805	
5000	-77742.86752267001	-77982.37233706386	239.50481439384907	-77982.37233706386	0.08609177514050281	253.70109586490008	54.1556647432023	0.24466466661911979	0.25044652591749816	0.2583612861657621	0.24652752129761996	0.6141677536512442	1.7320095836033882	0.36039016903378923	0.8515055983597197	0.577365609409805	
6000	-75037.35309995287	-75277.64137377687	240.28827382399993	-75277.64137377687	0.0780842744040487	254.31873529812444	45.277013907433506	0.23869517377418223	0.2509903151830932	0.2583612861657621	0.2519532248769625	0.6141677536512442	1.8648656142335371	0.36039016903378923	0.6721234116633151	0.577365609409805	
7000	-72794.13344825007	-73043.38324259198	249.2497943419147	-73043.38324259198	0.07151368892256096	263.28025581603924	54.28692810006146	0.23869517377418223	0.2509903151830932	0.2583612861657621	0.2519532248769625	0.6141677536512442	1.8648656142335371	0.36039016903378923	0.6721234116633151	0.577365609409805	
8000	-71329.22207840085	-71578.06345023468	248.84137183382768	-71578.06345023468	0.07241975676120369	262.8718333079522	55.80958434154977	0.23869517377418223	0.2509903151830932	0.2583612861657621	0.2519532248769625	0.6141677536512442	1.8648656142335371	0.36039016903378923	0.6721234116633151	0.577365609409805	
9000	-70747.70673016277	-70998.74415700872	251.0374268459568	-70998.74415700872	0.0627398953817641	265.03224363276246	60.29860406158008	0.23869517377418223	0.2600525604662709	0.24929904088258442	0.2519532248769625	0.6141677536512442	1.8648656142335371	0.36039016903378923	0.6489529661056193	0.577365609409805	
10000	-70203.58185663991	-70455.64416968879	252.06231304887874	-70455.64416968879	0.06031811299348583	265.5529925847932	55.54495949994169	0.23869517377418223	0.2600525604662709	0.2579275844185802	0.2433246813409667	0.6141677536512442	1.651490977457093	0.36039016903378923	0.44535067591407906	0.577365609409805	
11000	-69228.14995261116	-69479.83038881772	251.68043620656002	-69479.83038881772	0.06031811299348583	265.17111574247446	56.2692360319689	0.23869517377418223	0.2600525604662709	0.2579275844185802	0.2433246813409667	0.6141677536512442	1.651490977457093	0.36039016903378923	0.44535067591407906	0.577365609409805	
12000	-68272.62847119862	-68525.68227325812	253.05380205949348	-68525.68227325812	0.05727250024257438	266.39280912272267	57.43756607564732	0.23869517377418223	0.2600525604662709	0.2658575873225513	0.23539467843699557	0.6141677536512442	1.651490977457093	0.36039016903378923	0.3821670002168954	0.577365609409805	
13000	-68055.70499951385	-68313.28536752905	257.58036801520853	-68313.28536752905	0.05455516479038773	270.3413375430142	62.100295305661334	0.23869517377418223	0.2600525604662709	0.2658575873225513	0.23539467843699557	0.6141677536512442	1.651490977457093	0.19947035164429433	0.3821670002168954	0.577365609409805	
14000	-67398.03986501566	-67655.17649124135	257.13662622569	-67655.17649124135	0.05534241926808571	269.7847045033541	49.2513752709857	0.23869517377418223	0.2600525604662709	0.2658575873225513	0.23539467843699557	0.5491020106201469	1.651490977457093	0.19947035164429433	0.3821670002168954	0.577365609409805	
